Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,57.000000,57.000000,53.500000,54.500000,54.500000,1114100
2022-01-10,53.799999,54.700001,52.799999,54.500000,54.500000,703406
2022-01-11,54.900002,55.599998,53.599998,53.599998,53.599998,509050
2022-01-12,54.500000,54.500000,52.900002,52.900002,52.900002,411004
2022-01-13,53.400002,53.500000,52.500000,52.700001,52.700001,333500
2022-01-14,52.599998,53.099998,51.799999,52.599998,52.599998,506562
2022-01-17,52.599998,54.000000,52.599998,53.799999,53.799999,277002
2022-01-18,53.900002,54.400002,53.000000,53.000000,53.000000,272330
2022-01-19,53.000000,53.000000,52.099998,52.500000,52.500000,338041
2022-01-20,52.900002,53.500000,52.299999,53.500000,53.500000,171453
2022-01-21,53.099998,53.099998,50.799999,51.099998,51.099998,870251
2022-01-24,51.099998,51.299999,50.099998,50.500000,50.500000,451460
2022-01-25,50.500000,51.000000,50.200001,50.200001,50.200001,417000
2022-01-26,50.200001,51.000000,50.000000,50.000000,50.000000,547002
2022-02-07,50.599998,52.599998,50.599998,52.299999,52.299999,722100
2022-02-08,52.500000,53.900002,52.200001,53.500000,53.500000,743250
2022-02-09,53.599998,54.599998,53.599998,54.299999,54.299999,569392
2022-02-10,54.299999,54.500000,53.400002,53.900002,53.900002,445206
2022-02-11,53.900002,54.400002,53.400002,53.700001,53.700001,464178
2022-02-14,53.700001,53.700001,52.599998,53.500000,53.500000,411348
2022-02-15,53.900002,55.000000,53.200001,54.299999,54.299999,1000000
2022-02-16,55.200001,56.400002,55.000000,55.900002,55.900002,1139498
2022-02-17,56.500000,57.599998,56.299999,56.599998,56.599998,1932480
2022-02-18,56.299999,60.099998,56.000000,60.099998,60.099998,3663120
2022-02-21,60.700001,66.099998,59.299999,66.099998,66.099998,12953430
2022-02-22,65.500000,68.300003,63.099998,64.000000,64.000000,11591452
2022-02-23,65.699997,65.699997,63.599998,64.699997,64.699997,3511343
2022-02-24,63.299999,63.299999,59.299999,59.500000,59.500000,4053190
2022-02-25,60.400002,61.099998,59.700001,60.500000,60.500000,2146195
2022-03-01,60.599998,63.799999,60.500000,62.500000,62.500000,2063410
2022-03-02,62.500000,65.000000,62.099998,63.500000,63.500000,3324072
2022-03-03,63.599998,65.099998,63.200001,65.000000,65.000000,2451332
2022-03-04,65.099998,66.800003,63.400002,63.400002,63.400002,3777503
2022-03-07,62.200001,63.299999,59.599998,59.799999,59.799999,1867340
2022-03-08,58.500000,61.799999,56.599998,57.599998,57.599998,2128315
2022-03-09,60.500000,60.500000,58.099998,58.299999,58.299999,971206
2022-03-10,60.000000,60.599998,59.200001,59.500000,59.500000,1619548
2022-03-11,59.299999,60.000000,57.799999,59.200001,59.200001,957352
2022-03-14,59.500000,60.200001,58.000000,58.000000,58.000000,781020
2022-03-15,58.000000,58.500000,56.799999,58.000000,58.000000,718411
2022-03-16,58.900002,58.900002,57.000000,57.299999,57.299999,959180
2022-03-17,58.299999,60.200001,58.299999,58.400002,58.400002,1946002
2022-03-18,58.599998,59.400002,58.200001,59.200001,59.200001,775115
